Id;latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type;Zona;Trimestre;Año
 ;6,052214;-73,427864;334,13;0,33;0,55;04/03/2012;1847;N;VIIRS;n;1;290,3;5,29;D;0;Boyacá;1;2012
 ;6,052609;-73,425003;348,9;0,33;0,55;04/03/2012;1847;N;VIIRS;n;1;292,04;5,29;D;0;Boyacá;1;2012
 ;6,056125;-74,27224;349,5;0,53;0,67;21/02/2012;1732;N;VIIRS;n;1;293,97;17,53;D;0;Boyacá;1;2012
 ;6,058492;-72,509911;336,16;0,47;0,48;23/02/2012;1835;N;VIIRS;n;1;291,26;7,63;D;0;Boyacá;1;2012
 ;6,105881;-72,489098;341,1;0,6;0,53;28/02/2012;1841;N;VIIRS;n;1;294,33;10,89;D;0;Boyacá;1;2012
 ;6,10673;-72,482841;346,72;0,6;0,53;28/02/2012;1841;N;VIIRS;n;1;293,12;11,01;D;0;Boyacá;1;2012
 ;6,106899;-74,481987;330,22;0,44;0,46;15/03/2012;1841;N;VIIRS;n;1;297,87;3,46;D;0;Boyacá;1;2012
 ;6,10796;-72,49202;342,54;0,6;0,53;28/02/2012;1841;N;VIIRS;n;1;297,58;11,6;D;0;Boyacá;1;2012
 ;6,108758;-72,486481;332,24;0,6;0,53;28/02/2012;1841;N;VIIRS;n;1;292,88;12,02;D;0;Boyacá;1;2012
 ;6,110277;-72,676918;335,05;0,41;0,37;17/03/2012;1803;N;VIIRS;n;1;304,11;10,63;D;0;Boyacá;1;2012
 ;6,110833;-72,489334;344,64;0,6;0,53;28/02/2012;1841;N;VIIRS;n;1;294,76;10,89;D;0;Boyacá;1;2012
 ;6,116697;-74,463219;346,53;0,51;0,49;07/03/2012;1751;N;VIIRS;n;1;292,06;9,63;D;0;Boyacá;1;2012
 ;6,144969;-72,501762;330,84;0,65;0,73;27/02/2012;1719;N;VIIRS;n;1;298,63;4,3;D;0;Boyacá;1;2012
 ;6,395778;-72,676292;337,25;0,38;0,36;06/03/2012;1810;N;VIIRS;n;1;308,86;5,46;D;0;Boyacá;1;2012
 ;6,3963;-72,672859;336,58;0,38;0,36;06/03/2012;1810;N;VIIRS;n;1;308,88;5,46;D;0;Boyacá;1;2012
 ;6,492908;-72,683067;341,75;0,4;0,6;21/02/2012;1732;N;VIIRS;n;1;307,03;2,96;D;0;Boyacá;1;2012
 ;6,493613;-72,682617;339,69;0,41;0,6;21/02/2012;1732;N;VIIRS;n;1;307,3;4,51;D;0;Boyacá;1;2012
 ;6,663884;-72,243065;331,39;0,38;0,36;19/02/2012;1810;N;VIIRS;n;1;299,17;2,06;D;0;Boyacá;1;2012
 ;6,700555;-72,190636;344,76;0,48;0,65;16/02/2012;1726;N;VIIRS;n;1;292,13;8,73;D;0;Boyacá;1;2012
 ;6,703637;-72,19162;346,08;0,48;0,65;16/02/2012;1726;N;VIIRS;n;1;292,01;6,99;D;0;Boyacá;1;2012
 ;6,870786;-72,398186;337,07;0,49;0,65;16/02/2012;1726;N;VIIRS;n;1;293,57;9,42;D;0;Boyacá;1;2012
 ;6,917001;-71,997948;331,61;0,53;0,42;04/02/2012;1751;N;VIIRS;n;1;293,28;3,01;D;0;Boyacá;1;2012
 ;6,917931;-72,083199;333,45;0,41;0,37;23/01/2012;1816;N;VIIRS;n;1;291,93;2,98;D;0;Boyacá;1;2012
 ;6,952178;-72,034554;336,78;0,36;0,57;21/02/2012;1732;N;VIIRS;n;1;296,26;3,12;D;0;Boyacá;1;2012
 ;4,984318;-73,213593;302,46;0,44;0,38;22/02/2012;610;N;VIIRS;n;1;286,21;0,57;N;0;Boyacá;1;2012
 ;4,984561;-73,214859;303,07;0,44;0,38;22/02/2012;610;N;VIIRS;n;1;286,61;0,84;N;0;Boyacá;1;2012
 ;5,520053;-72,336967;306,1;0,39;0,44;28/02/2012;557;N;VIIRS;n;1;291,35;0,61;N;0;Boyacá;1;2012
 ;5,524021;-72,335976;305,61;0,39;0,44;28/02/2012;557;N;VIIRS;n;1;291,34;0,61;N;0;Boyacá;1;2012
 ;5,681503;-72,874611;296,38;0,54;0,5;04/02/2012;647;N;VIIRS;n;1;275,45;1,06;N;0;Boyacá;1;2012
 ;5,713459;-72,279373;318,2;0,39;0,44;28/02/2012;557;N;VIIRS;n;1;289,54;1,92;N;0;Boyacá;1;2012
 ;5,71467;-72,279266;316,92;0,39;0,44;28/02/2012;557;N;VIIRS;n;1;289,52;1,6;N;0;Boyacá;1;2012
 ;5,754279;-72,342911;306,32;0,59;0,53;07/03/2012;647;N;VIIRS;n;1;283,85;1,26;N;0;Boyacá;1;2012
 ;5,819557;-73,579063;298,96;0,48;0,48;20/02/2012;647;N;VIIRS;n;1;283,14;0,93;N;0;Boyacá;1;2012
 ;5,766107;-74,646393;333,67;0,39;0,36;23/01/2012;1816;N;VIIRS;n;1;298,85;3,3;D;3;Boyacá;1;2012
 ;6,157957;-72,410698;301,49;0,6;0,7;03/02/2012;706;N;VIIRS;n;1;272,26;1,87;N;3;Boyacá;1;2012
 ;4,665899;-73,139221;331,01;0,44;0,38;01/03/2012;1803;N;VIIRS;l;1;303,01;26,41;D;0;Boyacá;1;2012
 ;4,734628;-73,201752;367;0,47;0,64;21/02/2012;1732;N;VIIRS;h;1;299,18;39,65;D;0;Boyacá;1;2012
 ;4,793846;-73,15023;338,74;0,44;0,38;01/03/2012;1803;N;VIIRS;l;1;303,38;11,43;D;0;Boyacá;1;2012
 ;5,342256;-72,646599;367;0,6;0,71;27/02/2012;1900;N;VIIRS;h;1;295,37;15,45;D;0;Boyacá;1;2012
